ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;ScaleFactor;ModelId;Type
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10174.462890625;20.112199783325195;18711.337890625;0;212.1854248046875;0;1.462890625;540271;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;9976.412109375;21.94243812561035;18734.8984375;0;223.06781005859375;0;1.52734375;538353;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;9970.357421875;107.81111907958984;18657.857421875;0;341.1138916015625;0;1.4736328125;538153;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;9904.048828125;21.235532760620117;18716.751953125;0;233.59844970703125;0;1.322265625;538231;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10040.775390625;22.40494155883789;18712.33984375;0;118.21649169921875;0;1.244140625;538262;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;9849.056640625;21.761817932128906;18723.25;0;330.7315368652344;0;1.1923828125;538212;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;9919.0556640625;94.09548950195312;18634.06640625;0;350.4321594238281;0;1.30859375;538152;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;9704.5732421875;21.273616790771484;18690.68359375;0;260.4267578125;0;1.23046875;538154;m2
..\..\world\azeroth\swamposorrow\passivedoodads\vines\swamphangingvines01.obj;9957.5400390625;44.1279182434082;18670.947265625;0;141.77203369140625;0;0.8935546875;538178;m2
..\..\world\wmo\dungeon\cavernsoftime\cot_arm1_set0.obj;9954.26171875;45.283599853515625;18702.50390625;0;252.5;0;1;538175;wmo
