ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet
..\..\..\generic\gnome\passive doodads\buckets\gnomebucket03.obj;823.2245483398438;-299.3799133300781;-272.6232604980469;1;0;0;0;1;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\furniture\gnometable05.obj;636.8717041015625;-69.65841674804688;-183.29006958007812;1;0;0;0;1;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\furniture\gnometable05.obj;633.7008056640625;-77.9408950805664;-183.29006958007812;1;0;0;0;1;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\buckets\gnomebucket02.obj;632.1702880859375;-80.5568618774414;-183.30401611328125;0.9396926164627075;0;0;-0.3420201539993286;1;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\buckets\gnomebucket03.obj;639.7828979492188;-65.91541290283203;-183.2915802001953;1;0;0;0;1;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\furniture\gnomechair02.obj;631.9683227539062;-75.20982360839844;-183.184814453125;0.5922134518623352;-0.3885718584060669;-0.39197760820388794;-0.5870679020881653;1;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\furniture\gnomechair03.obj;634.5235595703125;-70.4385757446289;-183.1475372314453;1;0;0;0;1;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\furniture\gnomechair01.obj;635.3547973632812;-76.70545196533203;-183.245849609375;0.2630312144756317;0;0;-0.9647873044013977;1;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\furniture\gnomechair01.obj;639.3919067382812;-68.04876708984375;-183.24673461914062;0.2630312144756317;0;0;-0.9647873044013977;1;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\furniture\gnomechair01.obj;635.4147338867188;-79.3777847290039;-183.0974884033203;0.0073186918161809444;0.004752814304083586;0.5446183085441589;-0.8386386632919312;1;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\furniture\gnomechair01.obj;634.1299438476562;-67.68665313720703;-183.0974884033203;0.595611572265625;-0.38004398345947266;0.3901260495185852;-0.5904363989830017;1;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\steamwhistles\gnomewhistle02.obj;546.1786499023438;-108.017578125;-191.0807342529297;0.7071067690849304;0;0;-0.7071067690849304;2.2950000762939453;Set_$DefaultGlobal
..\..\..\generic\gnome\passive doodads\furniture\gnometable02.obj;592.7239990234375;-21.57906723022461;-179.9967803955078;0.9662056565284729;0.09574463218450546;0.10709862411022186;-0.2140314131975174;1;Set_$DefaultGlobal
